Species,Data_source,Predictor,Distributional_range,Model_score
Pandion haliaetus,standardized,combination,I,0.94
Pandion haliaetus,standardized,habitat-based,I,0.95
Panurus biarmicus,standardized,climate-based,I,0.95
Panurus biarmicus,standardized,combination,I,0.94
Panurus biarmicus,standardized,habitat-based,I,0.89
Parus major,standardized,climate-based,IV,0.87
Parus major,standardized,combination,IV,0.85
Parus major,standardized,habitat-based,IV,0.79
Passer domesticus,standardized,climate-based,IV,0.92
Passer domesticus,standardized,combination,IV,0.95
Passer domesticus,standardized,habitat-based,IV,0.98
Passer hispaniolensis,standardized,climate-based,III,0.92
Passer hispaniolensis,standardized,combination,III,0.92
Passer hispaniolensis,standardized,habitat-based,III,0.89
Passer montanus,standardized,climate-based,IV,0.85
Passer montanus,standardized,combination,IV,0.85
Passer montanus,standardized,habitat-based,IV,0.93
Perdix perdix,standardized,climate-based,II,0.98
Perdix perdix,standardized,combination,II,0.98
Perdix perdix,standardized,habitat-based,II,0.98
Periparus ater,standardized,climate-based,IV,0.92
Periparus ater,standardized,combination,IV,0.92
Periparus ater,standardized,habitat-based,IV,0.91
Pernis apivorus,standardized,climate-based,III,0.9
Pernis apivorus,standardized,combination,III,0.9
Pernis apivorus,standardized,habitat-based,III,0.89
Petronia petronia,standardized,climate-based,IV,0.89
Petronia petronia,standardized,combination,IV,0.87
Petronia petronia,standardized,habitat-based,IV,0.84
Phalacrocorax aristotelis,standardized,climate-based,II,0.99
Phalacrocorax aristotelis,standardized,combination,II,0.98
Phalacrocorax aristotelis,standardized,habitat-based,II,0.95
Phalacrocorax carbo,standardized,climate-based,I,0.88
Phalacrocorax carbo,standardized,combination,I,0.95
Phalacrocorax carbo,standardized,habitat-based,I,1
Phoenicopterus roseus,standardized,climate-based,I,0.98
Phoenicopterus roseus,standardized,combination,I,0.98
Phoenicopterus roseus,standardized,habitat-based,I,0.95
Phoenicurus ochruros,standardized,climate-based,IV,0.92
Phoenicurus ochruros,standardized,combination,IV,0.89
Phoenicurus ochruros,standardized,habitat-based,IV,0.87
Phoenicurus phoenicurus,standardized,climate-based,III,0.87
Phoenicurus phoenicurus,standardized,combination,III,0.87
Phoenicurus phoenicurus,standardized,habitat-based,III,0.84
Phylloscopus bonelli,standardized,climate-based,IV,0.9
Phylloscopus bonelli,standardized,combination,IV,0.88
Phylloscopus bonelli,standardized,habitat-based,IV,0.85
Phylloscopus collybita,standardized,climate-based,IV,0.91
Phylloscopus collybita,standardized,combination,IV,0.89
Phylloscopus collybita,standardized,habitat-based,IV,0.88
Phylloscopus ibericus,standardized,climate-based,IV,0.92
Phylloscopus ibericus,standardized,combination,IV,0.92
Phylloscopus ibericus,standardized,habitat-based,IV,0.86
Phylloscopus sibilatrix,standardized,climate-based,I,0.98
Phylloscopus sibilatrix,standardized,combination,I,0.99
Phylloscopus sibilatrix,standardized,habitat-based,I,0.99
Phylloscopus trochilus,standardized,climate-based,I,0.87
Phylloscopus trochilus,standardized,combination,I,0.99
Phylloscopus trochilus,standardized,habitat-based,I,1
Pica pica,standardized,climate-based,IV,0.88
Pica pica,standardized,combination,IV,0.87
Pica pica,standardized,habitat-based,IV,0.84
Picus viridis,standardized,climate-based,IV,0.87
Picus viridis,standardized,combination,IV,0.86
Picus viridis,standardized,habitat-based,IV,0.84
Platalea leucorodia,standardized,climate-based,I,0.97
Platalea leucorodia,standardized,combination,I,0.97
